"player","salary","season_end","season_start","team","team_name"
"Moses Malone",2406000,1991,1990,"ATL","Atlanta Hawks"
"Dominique Wilkins",2065000,1991,1990,"ATL","Atlanta Hawks"
"Jon Koncak",1550000,1991,1990,"ATL","Atlanta Hawks"
"Doc Rivers",895000,1991,1990,"ATL","Atlanta Hawks"
"Rumeal Robinson",800000,1991,1990,"ATL","Atlanta Hawks"
"Tim McCormick",775000,1991,1990,"ATL","Atlanta Hawks"
"Kevin Willis",685000,1991,1990,"ATL","Atlanta Hawks"
"Alexander Volkov",650000,1991,1990,"ATL","Atlanta Hawks"
"John Battle",590000,1991,1990,"ATL","Atlanta Hawks"
"Sidney Moncrief",510000,1991,1990,"ATL","Atlanta Hawks"
"Spud Webb",510000,1991,1990,"ATL","Atlanta Hawks"
"Gary Leonard",200000,1991,1990,"ATL","Atlanta Hawks"
"Duane Ferrell",125000,1991,1990,"ATL","Atlanta Hawks"
"Dominique Wilkins",3100000,1992,1991,"ATL","Atlanta Hawks"
"Jon Koncak",2000000,1992,1991,"ATL","Atlanta Hawks"
"Blair Rasmussen",1558000,1992,1991,"ATL","Atlanta Hawks"
"Rumeal Robinson",1025000,1992,1991,"ATL","Atlanta Hawks"
"Maurice Cheeks",1000000,1992,1991,"ATL","Atlanta Hawks"
"Travis Mays",1000000,1992,1991,"ATL","Atlanta Hawks"
"Stacey Augmon",875000,1992,1991,"ATL","Atlanta Hawks"
"Kevin Willis",725000,1992,1991,"ATL","Atlanta Hawks"
"Alexander Volkov",675000,1992,1991,"ATL","Atlanta Hawks"
"Duane Ferrell",500000,1992,1991,"ATL","Atlanta Hawks"
"Rodney Monroe",217000,1992,1991,"ATL","Atlanta Hawks"
"Gary Leonard",130000,1992,1991,"ATL","Atlanta Hawks"
"Paul Graham",125000,1992,1991,"ATL","Atlanta Hawks"
"Dominique Wilkins",3500000,1993,1992,"ATL","Atlanta Hawks"
"Jon Koncak",2450000,1993,1992,"ATL","Atlanta Hawks"
"Kevin Willis",2425000,1993,1992,"ATL","Atlanta Hawks"
"Blair Rasmussen",1988000,1993,1992,"ATL","Atlanta Hawks"
"Roy Hinson",1250000,1993,1992,"ATL","Atlanta Hawks"
"Travis Mays",1200000,1993,1992,"ATL","Atlanta Hawks"
"Stacey Augmon",1138000,1993,1992,"ATL","Atlanta Hawks"
"Adam Keefe",1000000,1993,1992,"ATL","Atlanta Hawks"
"Duane Ferrell",825000,1993,1992,"ATL","Atlanta Hawks"
"Mookie Blaylock",660000,1993,1992,"ATL","Atlanta Hawks"
"Maurice Cheeks",600000,1993,1992,"ATL","Atlanta Hawks"
"Paul Graham",500000,1993,1992,"ATL","Atlanta Hawks"
"Jeff Sanders",250000,1993,1992,"ATL","Atlanta Hawks"
"Morlon Wiley",250000,1993,1992,"ATL","Atlanta Hawks"
"Dominique Wilkins",3500000,1994,1993,"ATL","Atlanta Hawks"
"Jon Koncak",2900000,1994,1993,"ATL","Atlanta Hawks"
"Kevin Willis",2625000,1994,1993,"ATL","Atlanta Hawks"
"Blair Rasmussen",2457000,1994,1993,"ATL","Atlanta Hawks"
"Mookie Blaylock",1630000,1994,1993,"ATL","Atlanta Hawks"
"Roy Hinson",1445000,1994,1993,"ATL","Atlanta Hawks"
"Stacey Augmon",1400000,1994,1993,"ATL","Atlanta Hawks"
"Andrew Lang",1228000,1994,1993,"ATL","Atlanta Hawks"
